Jogador,Liga,Clube,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G-PB,PB,PT,CrtsA,CrtV,G_90,A_90,G+A_90
Marvin Friedrich,Bundesliga,Mönchengladbach,GER,DEF,25,8,7,600,6.7,0,0,0,0,0,1,0,0.0,0.0,0.0
Patrick Herrmann,Bundesliga,Mönchengladbach,GER,DEF,30,23,5,754,8.4,0,4,0,0,0,1,0,0.0,0.48,0.48
Tony Jantschke,Bundesliga,Mönchengladbach,GER,DEF,31,3,3,225,2.5,0,0,0,0,0,0,0,0.0,0.0,0.0
Hannes Wolf,Bundesliga,Mönchengladbach,AUT,ATA,22,7,2,307,3.4,0,0,0,0,0,2,0,0.0,0.0,0.0
László Bénes,Bundesliga,Mönchengladbach,SVK,MEI,23,13,2,246,2.7,0,0,0,0,0,0,0,0.0,0.0,0.0
Tobias Sippel,Bundesliga,Mönchengladbach,GER,GK,33,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Connor Noß,Bundesliga,Mönchengladbach,IRL,MEI,20,3,0,52,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0
Keanan Bennetts,Bundesliga,Mönchengladbach,ENG,ATA,22,4,0,50,0.6,0,0,0,0,0,1,0,0.0,0.0,0.0
Torben Müsel,Bundesliga,Mönchengladbach,GER,MEI,22,1,0,5,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Allan Saint-Maximin,Premier League,Newcastle United,FRA,ATA,24,35,31,2804,31.2,5,5,5,0,0,6,0,0.16,0.16,0.32
Joelinton,Premier League,Newcastle United,BRA,MEI,24,35,30,2558,28.4,4,1,4,0,0,8,0,0.14,0.04,0.18
Martin Dúbravka,Premier League,Newcastle United,SVK,GK,32,26,26,2340,26.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Fabian Schär,Premier League,Newcastle United,SUI,DEF,29,25,25,2158,24.0,2,2,2,0,0,4,0,0.08,0.08,0.17
Joe Willock,Premier League,Newcastle United,ENG,MEI,21,29,24,2038,22.6,2,0,2,0,0,0,0,0.09,0.0,0.09
Jamaal Lascelles,Premier League,Newcastle United,ENG,DEF,27,26,22,2058,22.9,1,0,1,0,0,5,0,0.04,0.0,0.04
Jonjo Shelvey,Premier League,Newcastle United,ENG,MEI,29,24,22,1983,22.0,2,1,2,0,0,7,1,0.09,0.05,0.14
Miguel Almirón,Premier League,Newcastle United,PAR,MEI,27,30,19,1716,19.1,1,0,1,0,0,2,0,0.05,0.0,0.05
Emil Krafth,Premier League,Newcastle United,SWE,DEF,26,20,18,1634,18.2,0,1,0,0,0,5,0,0.0,0.05,0.05
Ryan Fraser,Premier League,Newcastle United,SCO,ATA,27,27,18,1465,16.3,2,3,2,0,0,3,0,0.12,0.18,0.31
Dan Burn,Premier League,Newcastle United,ENG,DEF,29,16,16,1440,16.0,0,1,0,0,0,4,0,0.0,0.06,0.06
Matt Targett,Premier League,Newcastle United,ENG,DEF,25,16,16,1440,16.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Callum Wilson,Premier League,Newcastle United,ENG,ATA,29,18,16,1386,15.4,8,0,6,2,2,4,0,0.52,0.0,0.52
Sean Longstaff,Premier League,Newcastle United,ENG,MEI,23,24,15,1464,16.3,1,1,1,0,0,1,0,0.06,0.06,0.12
Chris Wood,Premier League,Newcastle United,NZL,ATA,29,17,15,1327,14.7,2,0,1,1,1,0,0,0.14,0.0,0.14
Javier Manquillo,Premier League,Newcastle United,ESP,DEF,27,19,15,1257,14.0,1,2,1,0,0,5,0,0.07,0.14,0.21
Matt Ritchie,Premier League,Newcastle United,SCO,DEF,31,18,14,1337,14.9,0,2,0,0,0,5,0,0.0,0.13,0.13
Jacob Murphy,Premier League,Newcastle United,ENG,ATA,26,33,13,1473,16.4,1,2,1,0,0,4,0,0.06,0.12,0.18
Ciaran Clark,Premier League,Newcastle United,IRL,DEF,31,13,12,1014,11.3,0,1,0,0,0,2,1,0.0,0.09,0.09
Isaac Hayden,Premier League,Newcastle United,ENG,MEI,26,14,12,1002,11.1,1,0,1,0,0,5,0,0.09,0.0,0.09
Bruno Guimarães,Premier League,Newcastle United,BRA,MEI,23,17,11,1034,11.5,5,1,5,0,0,4,0,0.43,0.09,0.52
Karl Darlow,Premier League,Newcastle United,ENG,GK,30,8,8,720,8.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Federico Fernández,Premier League,Newcastle United,ARG,DEF,32,7,5,523,5.8,0,0,0,0,0,0,0,0.0,0.0,0.0
Kieran Trippier,Premier League,Newcastle United,ENG,DEF,30,6,5,429,4.8,2,0,2,0,0,0,0,0.42,0.0,0.42
Freddie Woodman,Premier League,Newcastle United,ENG,GK,24,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Jamal Lewis,Premier League,Newcastle United,NIR,DEF,23,5,4,262,2.9,0,0,0,0,0,1,0,0.0,0.0,0.0
Paul Dummett,Premier League,Newcastle United,WAL,DEF,29,3,2,198,2.2,0,0,0,0,0,2,0,0.0,0.0,0.0
Jeff Hendrick,Premier League,Newcastle United,IRL,MEI,29,3,0,72,0.8,1,0,1,0,0,0,0,1.25,0.0,1.25
Dwight Gayle,Premier League,Newcastle United,ENG,ATA,30,8,0,38,0.4,0,0,0,0,0,1,0,0.0,0.0,0.0
Marc Guéhi,Premier League,Crystal Palace,ENG,DEF,21,36,36,3222,35.8,2,1,2,0,0,4,0,0.06,0.03,0.08
Tyrick Mitchell,Premier League,Crystal Palace,ENG,DEF,21,36,35,3101,34.5,0,2,0,0,0,1,0,0.0,0.06,0.06
Conor Gallagher,Premier League,Crystal Palace,ENG,MEI,21,34,33,2845,31.6,8,3,8,0,0,10,0,0.25,0.09,0.35
Joachim Andersen,Premier League,Crystal Palace,DEN,DEF,25,34,32,2916,32.4,0,3,0,0,0,4,0,0.0,0.09,0.09
Wilfried Zaha,Premier League,Crystal Palace,CIV,ATA,28,33,31,2760,30.7,14,1,9,5,7,6,1,0.46,0.03,0.49
Vicente Guaita,Premier League,Crystal Palace,ESP,GK,34,30,30,2655,29.5,0,0,0,0,0,2,0,0.0,0.0,0.0
Joel Ward,Premier League,Crystal Palace,ENG,DEF,31,28,27,2487,27.6,0,0,0,0,0,8,0,0.0,0.0,0.0
Jordan Ayew,Premier League,Crystal Palace,GHA,ATA,29,31,23,2019,22.4,3,3,3,0,0,2,0,0.13,0.13,0.27
Cheikhou Kouyaté,Premier League,Crystal Palace,SEN,MEI,31,27,23,1974,21.9,0,1,0,0,0,3,0,0.0,0.05,0.05
Jeffrey Schlupp,Premier League,Crystal Palace,GHA,MEI,28,32,20,1851,20.6,4,1,4,0,0,1,0,0.19,0.05,0.24
Odsonne Édouard,Premier League,Crystal Palace,FRA,ATA,23,28,18,1564,17.4,6,3,5,1,1,4,0,0.34,0.17,0.52
James McArthur,Premier League,Crystal Palace,SCO,MEI,33,21,15,1439,16.0,0,3,0,0,0,4,0,0.0,0.19,0.19
Nathaniel Clyne,Premier League,Crystal Palace,ENG,DEF,30,16,15,1351,15.0,0,1,0,0,0,1,0,0.0,0.07,0.07
Jean-Philippe Mateta,Premier League,Crystal Palace,FRA,ATA,24,22,13,1145,12.7,5,1,5,0,0,2,0,0.39,0.08,0.47
Will Hughes,Premier League,Crystal Palace,ENG,MEI,26,16,13,1053,11.7,0,1,0,0,0,6,0,0.0,0.09,0.09
Michael Olise,Premier League,Crystal Palace,FRA,ATA,19,26,12,1141,12.7,2,5,2,0,0,4,0,0.16,0.39,0.55
Christian Benteke,Premier League,Crystal Palace,BEL,ATA,30,25,11,1145,12.7,4,1,4,0,0,3,0,0.31,0.08,0.39
Luka Milivojević,Premier League,Crystal Palace,SRB,MEI,30,15,9,774,8.6,0,0,0,0,0,1,0,0.0,0.0,0.0
Jack Butland,Premier League,Crystal Palace,ENG,GK,28,9,8,765,8.5,0,0,0,0,0,0,0,0.0,0.0,0.0
Eberechi Eze,Premier League,Crystal Palace,ENG,MEI,23,13,6,605,6.7,1,1,1,0,0,1,0,0.15,0.15,0.3
James Tomkins,Premier League,Crystal Palace,ENG,DEF,32,8,6,547,6.1,1,0,1,0,0,2,0,0.16,0.0,0.16
Jaïro Riedewald,Premier League,Crystal Palace,NED,MEI,24,3,1,118,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Jesuran Rak Sakyi,Premier League,Crystal Palace,ENG,ATA,18,2,1,80,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0
Nathan Ferguson,Premier League,Crystal Palace,ENG,DEF,20,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Gonçalo Guedes,La Liga,Valencia,POR,ATA,24,36,30,2606,29.0,11,6,10,1,2,3,0,0.38,0.21,0.59
Carlos Soler,La Liga,Valencia,ESP,MEI,24,32,28,2474,27.5,11,5,4,7,7,4,0,0.4,0.18,0.58
Omar Alderete,La Liga,Valencia,PAR,DEF,24,29,28,2403,26.7,2,0,2,0,0,15,0,0.07,0.0,0.07
Hugo Guillamón,La Liga,Valencia,ESP,MEI,21,31,28,2361,26.2,1,0,1,0,0,11,2,0.04,0.0,0.04
Dimitri Foulquier,La Liga,Valencia,FRA,DEF,28,29,25,2342,26.0,0,1,0,0,0,11,0,0.0,0.04,0.04
José Luis Gayà,La Liga,Valencia,ESP,DEF,26,24,22,1871,20.8,2,4,2,0,0,8,2,0.1,0.19,0.29
Hugo Duro,La Liga,Valencia,ESP,ATA,21,30,22,1834,20.4,7,1,7,0,0,3,1,0.34,0.05,0.39
Maxi Gómez,La Liga,Valencia,URU,ATA,24,29,21,1956,21.7,5,1,5,0,0,7,1,0.23,0.05,0.28
Mouctar Diakhaby,La Liga,Valencia,GUI,DEF,24,29,21,1948,21.6,0,1,0,0,0,11,0,0.0,0.05,0.05
Gabriel Paulista,La Liga,Valencia,BRA,DEF,30,19,19,1592,17.7,2,1,2,0,0,2,0,0.11,0.06,0.17
Daniel Wass,La Liga,Valencia,DEN,MEI,32,19,19,1582,17.6,1,1,1,0,0,6,0,0.06,0.06,0.11
Giorgi Mamardashvili,La Liga,Valencia,GEO,GK,20,18,18,1620,18.0,0,0,0,0,0,2,0,0.0,0.0,0.0
Thierry Correia,La Liga,Valencia,POR,DEF,22,19,18,1414,15.7,0,1,0,0,0,5,0,0.0,0.06,0.06
Jasper Cillessen,La Liga,Valencia,NED,GK,32,17,17,1457,16.2,0,1,0,0,0,1,0,0.0,0.06,0.06
Yunus Musah,La Liga,Valencia,USA,MEI,18,29,13,1259,14.0,1,0,1,0,0,5,0,0.07,0.0,0.07
Uroš Račić,La Liga,Valencia,SRB,MEI,23,28,13,1206,13.4,0,0,0,0,0,3,1,0.0,0.0,0.0
Hélder Costa,La Liga,Valencia,ANG,MEI,27,22,13,1118,12.4,0,1,0,0,0,3,0,0.0,0.08,0.08
Ilaix Moriba,La Liga,Valencia,GUI,MEI,18,14,9,818,9.1,0,0,0,0,0,9,1,0.0,0.0,0.0
Bryan,La Liga,Valencia,ESP,MEI,20,13,9,753,8.4,0,1,0,0,0,3,0,0.0,0.12,0.12
Maranhão,La Liga,Valencia,BRA,ATA,24,29,8,973,10.8,1,3,1,0,0,3,0,0.09,0.28,0.37
Jesus Vazquez,La Liga,Valencia,ESP,DEF,18,15,8,813,9.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Toni Lato,La Liga,Valencia,ESP,DEF,23,11,7,590,6.6,0,1,0,0,0,5,0,0.0,0.15,0.15
Denis Cheryshev,La Liga,Valencia,RUS,MEI,30,17,5,563,6.3,0,1,0,0,0,1,0,0.0,0.16,0.16
Eray Cömert,La Liga,Valencia,SUI,DEF,23,8,5,408,4.5,0,0,0,0,0,2,0,0.0,0.0,0.0
Jaume Doménech,La Liga,Valencia,ESP,GK,30,4,3,343,3.8,0,0,0,0,0,1,0,0.0,0.0,0.0
Cristiano Piccini,La Liga,Valencia,ITA,DEF,28,6,3,322,3.6,1,0,1,0,0,1,0,0.28,0.0,0.28
Cristhian Mosquera,La Liga,Valencia,COL,DEF,17,6,3,212,2.4,0,0,0,0,0,1,0,0.0,0.0,0.0
Koba Koindredi,La Liga,Valencia,FRA,MEI,19,10,1,181,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Ruben Lendinez,La Liga,Valencia,ESP,DEF,18,4,1,137,1.5,0,0,0,0,0,2,0,0.0,0.0,0.0
Jason,La Liga,Valencia,ESP,MEI,27,5,1,75,0.8,0,0,0,0,0,2,0,0.0,0.0,0.0
Manu Vallejo,La Liga,Valencia,ESP,ATA,24,9,0,98,1.1,0,0,0,0,0,3,0,0.0,0.0,0.0
Jesús Santiago,La Liga,Valencia,ESP,MEI,17,3,0,82,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0
Mario Dominguez,La Liga,Valencia,ESP,ATA,17,2,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Rubén Sobrino,La Liga,Valencia,ESP,MEI,29,1,0,14,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Marco Bizot,Ligue 1,Brest,NED,GK,30,38,38,3420,38.0,0,1,0,0,0,1,0,0.0,0.03,0.03
Franck Honorat,Ligue 1,Brest,FRA,MEI,24,34,34,2899,32.2,11,4,11,0,0,3,0,0.34,0.12,0.47
Jean-Kevin Duverne,Ligue 1,Brest,FRA,DEF,24,37,33,3007,33.4,1,3,1,0,0,1,0,0.03,0.09,0.12
Brendan Chardonnet,Ligue 1,Brest,FRA,DEF,26,32,31,2686,29.8,3,0,3,0,0,6,1,0.1,0.0,0.1
Ronaël Pierre-Gabriel,Ligue 1,Brest,FRA,DEF,23,30,29,2548,28.3,0,1,0,0,0,6,0,0.0,0.04,0.04
Haris Belkebla,Ligue 1,Brest,ALG,MEI,27,31,26,2310,25.7,0,0,0,0,0,2,0,0.0,0.0,0.0
Steve Mounié,Ligue 1,Brest,BEN,ATA,26,35,25,2312,25.7,9,2,7,2,2,2,0,0.35,0.08,0.43
Lilian Brassier,Ligue 1,Brest,FRA,DEF,21,31,23,2263,25.1,1,0,1,0,0,4,0,0.04,0.0,0.04
Christophe Hérelle,Ligue 1,Brest,MTQ,DEF,28,23,23,1932,21.5,0,0,0,0,0,6,0,0.0,0.0,0.0
Lucien Agoume,Ligue 1,Brest,FRA,MEI,19,27,21,1868,20.8,0,0,0,0,0,6,0,0.0,0.0,0.0
Romain Faivre,Ligue 1,Brest,FRA,MEI,23,21,20,1795,19.9,7,5,2,5,5,1,0,0.35,0.25,0.6
Hugo Magnetti,Ligue 1,Brest,FRA,MEI,23,28,16,1463,16.3,0,1,0,0,0,4,0,0.0,0.06,0.06
Jérémy Le Douaron,Ligue 1,Brest,FRA,ATA,23,32,16,1446,16.1,5,3,5,0,0,0,0,0.31,0.19,0.5
Irvin Cardona,Ligue 1,Brest,FRA,ATA,23,32,13,1334,14.8,4,2,4,0,0,2,0,0.27,0.14,0.41
Romain Del Castillo,Ligue 1,Brest,FRA,MEI,25,19,13,975,10.8,0,6,0,0,0,1,1,0.0,0.56,0.56
Martin Satriano,Ligue 1,Brest,ITA,ATA,20,15,11,932,10.4,4,0,4,0,0,5,0,0.38,0.0,0.38
Youcef Belaïli,Ligue 1,Brest,ALG,MEI,29,13,11,825,9.2,3,2,3,0,1,2,0,0.33,0.22,0.54
Jere Uronen,Ligue 1,Brest,FIN,DEF,27,15,10,878,9.8,0,0,0,0,0,0,0,0.0,0.0,0.0
Paul Lasne,Ligue 1,Brest,FRA,MEI,32,15,9,847,9.4,0,1,0,0,0,1,0,0.0,0.11,0.11
Hianga Mananga Mbock,Ligue 1,Brest,FRA,MEI,21,14,9,799,8.9,0,0,0,0,0,3,0,0.0,0.0,0.0
Julien Faussurier,Ligue 1,Brest,FRA,MEI,34,16,4,489,5.4,0,1,0,0,0,1,0,0.0,0.19,0.19
Dénys Bain,Ligue 1,Brest,FRA,DEF,28,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Youssouph Badji,Ligue 1,Brest,SEN,ATA,19,9,1,135,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0
Rafiki Said Ahamada,Ligue 1,Brest,FRA,MEI,21,14,0,122,1.4,0,0,0,0,0,1,0,0.0,0.0,0.0
Romain Philippoteaux,Ligue 1,Brest,FRA,MEI,33,1,0,24,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Marco Silvestri,Serie A,Udinese,ITA,GK,30,35,35,3150,35.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Rodrigo Becão,Serie A,Udinese,BRA,DEF,25,35,35,3130,34.8,2,1,2,0,0,10,0,0.06,0.03,0.09
Walace,Serie A,Udinese,BRA,MEI,26,36,33,2970,33.0,1,0,1,0,0,6,1,0.03,0.0,0.03
Nahuel Molina,Serie A,Udinese,ARG,DEF,23,35,31,2638,29.3,7,2,7,0,0,7,1,0.24,0.07,0.31
Gerard Deulofeu,Serie A,Udinese,ESP,ATA,27,34,31,2616,29.1,13,5,12,1,1,9,0,0.45,0.17,0.62
Iyenoma Udogie,Serie A,Udinese,ITA,DEF,18,35,29,2477,27.5,5,3,5,0,0,4,0,0.18,0.11,0.29
Jean-Victor Makengo,Serie A,Udinese,FRA,MEI,23,33,26,2351,26.1,1,3,1,0,0,7,1,0.04,0.11,0.15
Beto,Serie A,Udinese,GNB,ATA,23,28,24,2173,24.1,11,0,11,0,0,1,0,0.46,0.0,0.46
Bram Nuytinck,Serie A,Udinese,NED,DEF,31,27,23,2033,22.6,1,0,1,0,0,2,0,0.04,0.0,0.04
Roberto Pereyra,Serie A,Udinese,ARG,MEI,30,24,22,1794,19.9,3,5,2,1,2,10,1,0.15,0.25,0.4
Tolgay Arslan,Serie A,Udinese,GER,MEI,30,30,22,1658,18.4,1,0,1,0,0,9,0,0.05,0.0,0.05
Nehuén Pérez,Serie A,Udinese,ARG,DEF,21,20,19,1692,18.8,0,1,0,0,0,6,0,0.0,0.05,0.05
Samir Santos,Serie A,Udinese,BRA,DEF,26,17,17,1421,15.8,0,0,0,0,0,5,0,0.0,0.0,0.0
Pablo Marí,Serie A,Udinese,ESP,DEF,27,15,15,1341,14.9,2,0,2,0,0,2,1,0.13,0.0,0.13
Ignacio Pussetto,Serie A,Udinese,ARG,ATA,25,28,11,1204,13.4,4,4,3,1,1,4,0,0.3,0.3,0.6
Isaac Success,Serie A,Udinese,NGA,ATA,25,22,11,911,10.1,2,6,2,0,0,1,1,0.2,0.59,0.79
Jens Stryger Larsen,Serie A,Udinese,DEN,DEF,30,11,8,684,7.6,0,1,0,0,0,0,0,0.0,0.13,0.13
Brandon Soppy,Serie A,Udinese,FRA,DEF,19,28,7,777,8.6,0,0,0,0,0,4,0,0.0,0.0,0.0
Marvin Zeegelaar,Serie A,Udinese,NED,DEF,30,14,6,643,7.1,0,0,0,0,0,2,0,0.0,0.0,0.0
Mato Jajalo,Serie A,Udinese,BIH,MEI,33,22,6,629,7.0,0,1,0,0,0,2,0,0.0,0.14,0.14
Daniele Padelli,Serie A,Udinese,ITA,GK,35,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Sebastien De Maio,Serie A,Udinese,FRA,DEF,34,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Lazar Samardzic,Serie A,Udinese,GER,MEI,19,22,1,490,5.4,2,2,2,0,0,0,0,0.37,0.37,0.74
Ilija Nestorovski,Serie A,Udinese,MKD,ATA,31,7,1,188,2.1,1,0,1,0,0,1,0,0.48,0.0,0.48
Fernando Forestieri,Serie A,Udinese,ITA,ATA,31,4,0,58,0.6,2,1,2,0,0,1,0,3.33,1.67,5.0
Simone Pafundi,Serie A,Udinese,ITA,ATA,15,1,0,23,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Stefano Okaka,Serie A,Udinese,ITA,ATA,31,2,0,22,0.2,0,1,0,0,0,1,0,0.0,5.0,5.0
Filip Benković,Serie A,Udinese,CRO,DEF,24,2,0,8,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Kevin Trapp,Bundesliga,Eintracht Frankfurt,GER,GK,31,32,32,2880,32.0,0,0,0,0,0,2,0,0.0,0.0,0.0
Obite N'Dicka,Bundesliga,Eintracht Frankfurt,FRA,DEF,21,32,32,2857,31.7,4,4,4,0,0,3,0,0.13,0.13,0.25
Filip Kostić,Bundesliga,Eintracht Frankfurt,SRB,DEF,28,31,28,2522,28.0,4,9,4,0,0,2,0,0.14,0.32,0.46
Djibril Sow,Bundesliga,Eintracht Frankfurt,SUI,MEI,24,31,28,2415,26.8,2,3,2,0,0,5,0,0.07,0.11,0.19
Rafael Borré,Bundesliga,Eintracht Frankfurt,COL,ATA,25,31,28,2378,26.4,8,4,8,0,0,5,0,0.3,0.15,0.45
Tuta,Bundesliga,Eintracht Frankfurt,BRA,DEF,22,26,26,2183,24.3,4,0,4,0,0,4,1,0.16,0.0,0.16
Jesper Lindstrøm,Bundesliga,Eintracht Frankfurt,DEN,ATA,21,29,26,1976,22.0,5,4,5,0,0,0,0,0.23,0.18,0.41
Martin Hinteregger,Bundesliga,Eintracht Frankfurt,AUT,DEF,28,27,25,2222,24.7,1,0,1,0,0,6,0,0.04,0.0,0.04
Daichi Kamada,Bundesliga,Eintracht Frankfurt,JPN,MEI,24,32,23,2139,23.8,4,3,4,0,0,0,0,0.17,0.13,0.29
Kristijan Jakić,Bundesliga,Eintracht Frankfurt,CRO,MEI,24,26,21,1879,20.9,1,0,1,0,0,6,0,0.05,0.0,0.05
Timothy Chandler,Bundesliga,Eintracht Frankfurt,USA,DEF,31,17,15,1212,13.5,0,0,0,0,0,4,0,0.0,0.0,0.0
Makoto Hasebe,Bundesliga,Eintracht Frankfurt,JPN,DEF,37,18,12,1187,13.2,0,0,0,0,0,1,0,0.0,0.0,0.0
Sebastian Rode,Bundesliga,Eintracht Frankfurt,GER,MEI,30,17,10,759,8.4,1,0,1,0,0,1,0,0.12,0.0,0.12
Jens Petter Hauge,Bundesliga,Eintracht Frankfurt,NOR,ATA,21,26,9,1040,11.6,2,2,2,0,0,4,0,0.17,0.17,0.34
Ajdin Hrustic,Bundesliga,Eintracht Frankfurt,AUS,MEI,25,23,9,964,10.7,2,0,2,0,0,2,0,0.19,0.0,0.19
Ansgar Knauff,Bundesliga,Eintracht Frankfurt,GER,DEF,19,12,8,759,8.4,1,1,1,0,0,0,0,0.12,0.12,0.24
Danny da Costa,Bundesliga,Eintracht Frankfurt,GER,DEF,28,11,7,725,8.1,0,0,0,0,0,2,0,0.0,0.0,0.0
Erik Durm,Bundesliga,Eintracht Frankfurt,GER,DEF,29,7,7,474,5.3,0,1,0,0,0,1,0,0.0,0.19,0.19
Christopher Lenz,Bundesliga,Eintracht Frankfurt,GER,DEF,26,15,6,664,7.4,0,1,0,0,0,6,0,0.0,0.14,0.14
Sam Lammers,Bundesliga,Eintracht Frankfurt,NED,ATA,24,15,5,517,5.7,1,0,1,0,0,1,0,0.18,0.0,0.18
Almamy Touré,Bundesliga,Eintracht Frankfurt,MLI,DEF,25,10,5,506,5.6,0,0,0,0,0,2,0,0.0,0.0,0.0
Gonçalo Paciência,Bundesliga,Eintracht Frankfurt,POR,ATA,26,18,4,516,5.7,3,0,2,1,2,3,0,0.53,0.0,0.53
Stefan Ilsanker,Bundesliga,Eintracht Frankfurt,AUT,DEF,32,12,3,266,3.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Aymen Barkok,Bundesliga,Eintracht Frankfurt,MAR,MEI,23,5,2,160,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0
Ragnar Ache,Bundesliga,Eintracht Frankfurt,GER,MEI,23,13,1,259,2.9,0,1,0,0,0,0,0,0.0,0.34,0.34
Jens Grahl,Bundesliga,Eintracht Frankfurt,GER,GK,32,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Diant Ramaj,Bundesliga,Eintracht Frankfurt,GER,GK,19,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Maximilian Arnold,Bundesliga,Wolfsburg,GER,MEI,27,34,34,2994,33.3,4,2,4,0,0,4,0,0.12,0.06,0.18
John Brooks,Bundesliga,Wolfsburg,USA,DEF,28,31,29,2615,29.1,1,1,1,0,0,2,0,0.03,0.03,0.07
Maxence Lacroix,Bundesliga,Wolfsburg,FRA,DEF,21,29,29,2491,27.7,0,0,0,0,0,5,3,0.0,0.0,0.0
Koen Casteels,Bundesliga,Wolfsburg,BEL,GK,29,28,28,2520,28.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Ridle Baku,Bundesliga,Wolfsburg,GER,DEF,23,34,28,2446,27.2,3,5,3,0,0,4,0,0.11,0.18,0.29
Sebastiaan Bornauw,Bundesliga,Wolfsburg,BEL,DEF,22,27,23,2007,22.3,1,0,1,0,0,4,0,0.04,0.0,0.04
Jérôme Roussillon,Bundesliga,Wolfsburg,FRA,DEF,28,26,18,1775,19.7,1,0,1,0,0,5,0,0.05,0.0,0.05
Lukas Nmecha,Bundesliga,Wolfsburg,GER,ATA,22,25,18,1627,18.1,8,0,8,0,0,5,0,0.44,0.0,0.44
Yannick Gerhardt,Bundesliga,Wolfsburg,GER,MEI,27,27,17,1574,17.5,1,3,1,0,0,2,0,0.06,0.17,0.23
Wout Weghorst,Bundesliga,Wolfsburg,NED,ATA,28,18,17,1553,17.3,6,1,5,1,2,2,0,0.35,0.06,0.4
Kevin Mbabu,Bundesliga,Wolfsburg,SUI,DEF,26,24,14,1391,15.5,0,0,0,0,0,4,0,0.0,0.0,0.0
Jonas Wind,Bundesliga,Wolfsburg,DEN,ATA,22,14,14,1180,13.1,5,1,5,0,0,0,0,0.38,0.08,0.46
Max Kruse,Bundesliga,Wolfsburg,GER,ATA,33,14,14,1128,12.5,7,1,5,2,2,0,0,0.56,0.08,0.64
Xaver Schlager,Bundesliga,Wolfsburg,AUT,MEI,23,14,13,1040,11.6,0,1,0,0,0,2,0,0.0,0.09,0.09
Renato Steffen,Bundesliga,Wolfsburg,SUI,ATA,29,20,13,967,10.7,0,1,0,0,0,6,0,0.0,0.09,0.09
Aster Vranckx,Bundesliga,Wolfsburg,BEL,MEI,18,24,12,1141,12.7,2,0,2,0,0,2,0,0.16,0.0,0.16
Maximilian Philipp,Bundesliga,Wolfsburg,GER,MEI,27,22,12,963,10.7,1,4,1,0,0,2,0,0.09,0.37,0.47
Josuha Guilavogui,Bundesliga,Wolfsburg,FRA,MEI,30,15,10,942,10.5,0,0,0,0,0,4,0,0.0,0.0,0.0
Luca Waldschmidt,Bundesliga,Wolfsburg,GER,MEI,25,14,9,717,8.0,1,0,1,0,0,2,0,0.12,0.0,0.12
Dodi Lukebakio,Bundesliga,Wolfsburg,BEL,ATA,23,19,7,882,9.8,1,2,1,0,0,2,0,0.1,0.2,0.31
Pavao Pervan,Bundesliga,Wolfsburg,AUT,GK,33,6,6,540,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Paulo Otávio,Bundesliga,Wolfsburg,BRA,DEF,26,7,5,362,4.0,0,1,0,0,0,0,0,0.0,0.25,0.25
Mickey van de Ven,Bundesliga,Wolfsburg,NED,DEF,20,5,2,189,2.1,0,1,0,0,0,0,0,0.0,0.48,0.48
Felix Kalu Nmecha,Bundesliga,Wolfsburg,GER,MEI,20,16,1,323,3.6,0,0,0,0,0,2,0,0.0,0.0,0.0
Bartosz Bialek,Bundesliga,Wolfsburg,POL,ATA,19,12,1,178,2.0,0,0,0,0,0,1,0,0.0,0.0,0.0
Omar Marmoush,Bundesliga,Wolfsburg,EGY,ATA,22,2,0,24,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0
Josip Brekalo,Bundesliga,Wolfsburg,CRO,MEI,23,1,0,21,0.2,0,1,0,0,0,0,0,0.0,5.0,5.0
